高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
care   n.照料，保护；小心v.介意……，在乎；关心
decoration   n.装饰，修饰
either  a.两方任一方的；二者之一conj.二者之一；要么……
fax   n.传真
glare  v.瞪眼,怒目而视,闪耀
hatch  v.（鸟、鸡）孵蛋
India  *n.印度
league  n.联盟，社团
mask  n.口罩；面罩；遮盖物v.戴面具；掩饰；伪装
NewZealander  n.新西兰人
only  a.惟一的，仅有的ad.仅仅，只，才
particular  a.特殊的，个别的
reality  n.现实
scare  v.使害怕，使恐惧
simple-minded  a.纯朴,头脑简单
stainless   a.无污点的
technology   n.技术
unite  v.联合，团结
violent  a.暴力的
we  pron.我们
avoid   v.避免，躲开，逃避
aspect   n.方面，外观，外表
accuracy  n.准确，精确
bark   v.狗叫n.狗叫声
careful   a.小心，仔细，谨慎的
decrease   v.减少，减小，降低
ad.  也
fear  n.害怕；恐惧；担忧
glass  n.玻璃杯,玻璃；眼镜
hate  vt.&n.恨，讨厌
Indian  a.（美洲）印地安人的；印度人的n.印地安人；印度人
leak  vi.漏；渗
mass  n.众多;大量;（复）群众
news   n.新闻，消息
onto   prep.到…的上面
partly  ad.部分地,在一定程度上
realise  vt.认识到,实现
scarf  n.领巾，围巾
simplify  v.使简化，使简易
stainlesssteel   不锈钢
teenager   n.（13～19岁的）青少年，十几岁的少年
universal  a.普遍的，全体的
violin  n.小提琴
web  n.网，网状物
corner   n.角；角落；拐角
congratulation   n.祝贺，庆贺
accuse   v.正确无误的,精确的
barrier   n.屏障，障碍，关卡
careless   a.粗心的，漫不经心的
deed   n.行为；事迹
elder  n.长者；前辈
feast   n.盛宴，宴会，（宗教的）节日
glasshouse  n.温室，暖房
have  vt.有；吃；喝；进行；经受
Indicate  v.表明，象征，暗示
learn  vt.学，学习，学会
master  vt.精通，掌握
newspaper   n.报纸
open  a.开着的,开的vt.开,打开
partner  n.搭档，合作者
reallyv  ad.真正地；到底；确实
scene  n.（戏剧、电影等的）一场，场景，布景
simply   ad.简单地,的确
stair   n.楼梯
telegram   n.电报
universe  n.宇宙
violinist  n.提琴家，提琴手
website  n.网络
awake  v.唤醒a.醒着的
proper  a.恰当的，合适的
accustomed   a.习惯于,惯常的
base   n.根据地，基地（棒球）垒
carpenter   n.木工，木匠
deep   a.深ad.深；深厚
elect  vt.（投票）选举
feather   n.羽毛
globe  n.地球仪,地球
hawk  n.鹰
industry  n.工业，产业
learned  a.有才华的；博学的
mat  n.垫子
next   a.最近的，紧挨着的，隔壁的；下一次ad.随后，然后，下一步n.下一个人（东西）
opener   n.开具，启子
part-time  a.&ad.兼职的；部分时间的（地）
reason  vi.评理,劝说n.理由,原因
scenery  n.风景，景色，风光
since  ad.从那时以来conj.从…以来，…以后，由于prep.从…以来
stamp  n.邮票
telegraph   v.电报
university  n.大学
virtue  n.美德,正直的品行,德行
weak  a.差的，弱的，淡的
corporation   n.（大）公司
assess   v.评价,评定（性质,质量）
ache   vi.&n.痛，疼痛
baseball   n.棒球
carpet   n.地毯
deeply   ad.深深地
electric  a.电的
February   n.2月
glory  n.巨大的光荣;荣誉;赞美
hay  n.作饲料用的干草
influence  n.&v.影响
least  n.最少，最少量
match  vt.使相配，使成对n.比赛，竞赛n.火柴
nice  a.令人愉快;好的漂亮的
opening  n.开放，口子
party ['pɑ:tɪn.聚会，晚会；党派
reasonable  a.合乎情理的
sceptical  a.怀疑的
sincerely   ad.真诚地
stand   n.站；立；停止；立场；地位；台；坛；摊
telephone   v.打电话n.电话
unknown  a.不知道的
virus  n.病毒
weakness  n.软弱
award   n.奖品，奖励
connect   v.连接，把…联系起来
achieve   vt.达到，取得
basement   n.地下室
carriage   n.四轮马车;（火车）客车厢
deer   n.鹿
electrical  a.电的；电器的
federa   la.中央的（政府）联邦的
glove  n.手套
he  pron.他
inform  vt.告诉；通知
leather  n.皮革
material  n.材料，原料
niece   n.侄女，甥女
opera  n.歌剧
pass  vt.传，递；经过；通过
rebuild  vt.重建
schedule  n.工作计划，日程安排v.安排时间，预定
sing  v.唱，唱歌
stand   v.站；立；起立；坐落；经受；持久
telephone-booth或telephone-boxn.公用电话间
unless  conj.如果不，除非
visa  n.签证，背签
wealth  n.财产，财富
correct   v.改正；纠正a.正确的，对的；恰当的
properly  ad.适当地
achievement   n.成就,成绩,功绩
basic   a.基本的
carrier   n.搬运者；媒介;（自行车等的）置物架；（车的）货架
defeat   vt.击败；战胜
electricity  n.电；电流
fee  n.费，费用
glue  n.胶水
head  n.头；头脑；才智；首脑；源头；标题a.头部的；主要的；首席的v.率领；加标题；用头顶；出发；驶向
information  n.信息
leave  v.离开;把…留下，剩下
mathematics  n.（常作单数用）数学,数学
night   n.夜；夜间
operahouse  n.歌剧院,艺术剧院
passage  n.（文章等的）一节，一段；通道；走廊
receipt  n.收据
school  n.学校
singer  n.歌唱家，歌手
standard   n.&a.标准（的）
telescope   n.望远镜
unlike  prep.不像，和…不同
visit  n.&vt.参观，访问，拜访
wealthy  a.富的
aware   a.知道，意识到，发觉
assessment   n.看法，评价
acid   a.酸的
basin   n.水盆，脸盆
carrot   n.胡萝卜
defence   n.&v.防御；防务
electronic  a.电子的
feed  vt.喂（养）；饲（养）
go  vi.去；走；驶；通到；到达n.尝试（做某事）
headache  n.头疼
informationdesk  问讯处
lecture  n.讲课，演讲
matter  n.要紧事，要紧,事情；问题vi.要紧，有重大关系
night-club   n.夜总会
operate  v.做手术，运转；实施，负责,经营，管理
passenger  n.乘客，旅客
receive  v.收到，得到
scholar  n.学者
single  a.单一的，单个的
star   n.星，恒星
television   n.电视
unmarried  a.未婚的，独身的
visitor  n.访问者，参观者
wear  v.穿，戴
correction   n.改正
connection   n.连接物;接触,联系
acknowledge  v.承认
basis   n.原因，缘由，要素
carry   vt.拿，搬，带，提，抬，背，抱，运等
defend   vt.防守；保卫
elegant  a.文雅的,漂亮的,精美的
feel  v.&link感觉，觉得；摸，触
goal  n.（足球）球门，目标
headline  n.（报刊的）大字标题
initial  a.开始的，最初的
left  a.左边的ad.向左n.左,左边
mature  a.成熟的
nine  num.九
operation   n.手术，操作
passer-by  n.过客，过路人
receiver  n.电话听筒
scholarship  n.奖学金
sink  n.洗涤槽；污水槽
stare   vi.盯，凝视
tell   vt.告诉,讲述,吩咐
unpleasant  a.使人不愉快的
visual  a.视力的，视觉的
weather  n.天气
away   ad.离开；远离
protect  vt.保护
acquaintance   n.熟人，（与某人）认识
basket   n.篮子
cartoon   n.动画片，卡通；漫画
degree   n.程度；度数；学位
elephant  n.象
feeling  n.感情；感觉
goat  n.山羊
headmaster  n.（英）中小学校长
injure  vt.损害，伤害
left-handed  a.惯用左手的
maximum  a.&n.最大量；最大限度
nineteen   num.十九
operator   n.接线员
passive  a.被动的
recent  a.近来的，最近的
schoolbag   n.书包
sink  vi.下沉；消沉
start   v.开始，着手；出发
temperature   n.温度
unrest  n.不安；骚动
vital  a.必不可少的，对…极重要的
weatherman ['weath·er·man||n.气象员,预报天气的人
correspond   vi.一致；与……相当；通信，有书信往来
assist  v.帮助，协助
acquire   v.获得，得到
basketball   n.篮球
carve   vt.刻；雕刻
delay   v.&n.拖延，延误，延迟，延期；耽搁
eleven  num.十一
fellow  n.同伴；伙伴
god  n.神，（大写）上帝
headmistress   n.女校长
injury  n.受伤处
leftover  a.剩余,剩下的n.剩饭菜
maymodal  v.可以;也许,可能
ninety   num.九十
opinion  n.看法，见解
passport  n.护照
reception  n.接待
school-leaver  n.学校毕业生
sir  n.先生；阁下
starvation   n.饥饿；饿死
temple   n.庙宇，寺院
unsafe  a.不安全的；危险的
vivid  a.生动，逼真的，鲜明的
wedding  n.婚礼,结婚
awesome   a.令人惊叹,很困难的
conscience   n.良心，良知，内疚
acquisition   n.获得，得到
bat   n.（棒球、板球的）球棒n.蝙蝠
case   n.情况；病例；案件；真相n.箱；盒；容器
delete   v.删去
else  ad.别的，其他的
female  a.女的；女性的；雌性的
gold  n.黄金a金的，黄金的
headteachern.中小学班主任
ink  n.墨水，油墨
left-wing  n.左翼的
May  n.5月
ninth   num.第九
oppose  vt.反对；反抗
past  ad.过n.过去，昔日，往事prep.过…，走过某处
receptionist  n.接待员
schoolmate  n.同校同学
sister   n.姐；妹
starve   v.饿死
temporary   a.短暂的，暂时的
unsuccessful  a.不成功,失败的
vocabulary  n.词汇,词汇表
Wednesday  n.星期三
corrupt  a./v.贪污的，腐败的，使腐化，堕落
protection  n.保护
acre   n.英亩
bath   n.洗澡；浴室；澡盆
cash   n.现金，现钞v.兑现
deliberately   ad.故意,蓄意,存心
e-mail n.电子邮件
fence  n.栅栏；围栏；篱笆
golden  a.金色的
health  n.健康，卫生
inland  a.内陆的；内地的
leg  n.腿；腿脚；支柱
maybe  ad.可能，大概，也许
no  ad.不,不是a.没有,无,不
opposite  n.相反，对面a.相反的，对面的
patent  n.专利权，专利证书
recipe  n.烹饪法，食谱
science  n.科学，自然科学
sister-in-law  n.嫂，弟媳
state   n.状态；情形；国家，（美国的）州
temptation   n.引诱；诱惑
until  prep.&conj.直到…为止
voice  n.说话声;语态
weed  n.杂草，野草
awful   a.很坏的，极讨厌的
assistance   n.帮助，援助，支持
across   prep.横过，穿过
bathe   vi.洗澡；游泳
cassettle   n.磁带
delicate   a.易损的，易碎的
embarrass  v.使窘迫，尴尬
ferry   n.渡船
goldfish  n.金鱼
healthy  a.健康的，健壮的
inn  n.小旅店；小饭店
legal  a.与法律有关的，法律的
me  pron.我（宾格）
number   n.数字;号码
optimistic  a.乐观的
path  n.小道，小径
recite  v.背诵
scientific  a.科学的
sit  vi.坐
station   n.站，所，车站；电台
tend   v.往往会，常常就，倾向，趋于
untrue  a.不真实的，假的
volcano  n.火山
week  n.星期，周
cost  v.值（钱），花费n.价格
consensus   n.一致的意见，共识
act   n.法令，条例v.（戏）表演，扮演（角色），演出（戏）；行动，做事
bathrobe   n.浴衣
cast  v.扔，抛，撒
delicious   a.美味的，可口的
embassy  n.大使馆
festival  a.节日的，喜庆的
golf  n.高尔夫球
heap  n.堆v.堆起来
innocent  a.无辜的，清白的
lemon  n.柠檬a.柠檬色的
meal  n.一餐（饭）
noble  a.高贵的，贵族的
optional  a.可选择的，选修的
patiencen.容忍；耐心
recognise  vt.认出
scientist  n.科学家
situation  n.形势，情况
statement   n.声明，陈诉，说法
tendency   n.倾向，偏好，性情
unusual  a.不平常的，异常的
volleyball  n.排球
weekday  n.平日
awkward   a.令人尴尬,使人难堪的
proud  a.自豪的；骄傲的
action   n.行动
bathroom   n.浴室，盥洗室
castle   n.城堡
delight   n.快乐；乐事
emergency  n.紧急情况或状态
fetch  vt.（去）取（物）来，（去）带（人）来
good  a.好；良好
hear  v.听见；听说,得知
insect  n.昆虫
lemonade  n.柠檬水
mean  vt.意思,意指
nobody   n.渺小人物pron.没有人，谁也不
or  conj.或；就是；否则
patient  n.病人
recommend  v.推荐
scissors  n.剪刀，剪子
six  num.六
statesman  n.政治家
tennis   n.网球
unwilling  a.不愿意的，勉强的
voluntary  a.自愿的，主动的
weekend  n.周末
cosy   a.暖和舒适的,亲密无间的
assistant   n.助手，助理
active   a.积极的，主动的
bathtub   n.澡盆
casual   a.漫不经心的，不经意的，非正式的
delighted   a.高兴的，快乐的
emperor  n.皇帝
fever   n.发烧；发热
good-bye  int.再见；再会
hearing  n.听力
insert  vt.插入
lend  vt.借,把…借给
meaning  n.意思，含意
nod  vi.点头
oral  a.口述的，口头上的
pattern  n.式样
record  n.记录；唱片
scold  vt.责骂
sixth  num.第六
statistics   n.统计数字，统计资料，统计学
ten   num.十
up  ad.向上；在上方；起来；在…以上a.上面的，向上的，上行的n.上升；上坡；上行；繁荣v.举起；拿起；提高prep.向；向……上游
volunteer  n./v.义工，自愿者，无偿做
weekly  a.每周的
cottage   n.小屋,村舍,别墅
consequence   n.结果，后果
activity   n.活动
battery   n.电池
cat   n.猫
deliver   vt.投递（信件，邮包等）
empire  n.帝国
few   pron.不多；少数不多的；少数的
goodness  n.善良，美德
heart  n.心.心脏,纸牌中的红桃
inside  prep.在…里面ad.在里面
length  n.长，长度，段，节
means  n.方法，手段；财产
noise   n.声音，噪声，喧闹声
orange  n.橘子，橙子，橘汁a.橘色的，橙色的
pause  n.&vi.中止，暂停；停止
recordholder  记录保持者
score  n.&v.得分，分数
sixty  num.六十
statue   n.法令，法规，章程
tense   a.心烦意乱的，紧张的
upon  prep.在……上面
vote  vi.选举，投票
weep  v.哭泣，流泪
cotton   n.棉花a.棉花的
prove  vt.证明
actor   n.男演员
battle   n.战斗；战役
catalogue   n.目录
demand   vt.要求
employ  vt.雇佣
fibre   n.纤维质
goods  n.商品，货物
heat  n.热vt.把……加热
insist  vi.坚持；坚决认为
less（little的比较级）   a.&ad.少于,小于
meanwhile  ad.同时
noisily   ad.喧闹地
orbit  n.（天体等的）运行轨道
pay  v.付钱，给…报酬n.工资
record  v.录制，记录
scores  n.许多，很多
sixteen  num.十六
status   n.法律地位（身份）
tension   n.紧张局势，矛盾
upper  a.较高的，较上的
voyage  n.航行，旅行
weigh  vt.称…的重量，重（若干）
cough   n.&vi.咳嗽
associate   v.联想，联系
actress   n.女演员
battleground   n.战场
catastrophe   n.灾难，灾祸，不幸事件
dentist   n.牙科医生
empty  a.空的
fiction  n.小说，虚构的事
goose  n.鹅
heaven  n.天，天空
inspect  vt.检查；检验；审视
lesson  n.课；功课；教训
measure  v.量
noisy   a.喧闹的，嘈杂的
order  n.顺序
PhysicalEducation  体育
recorder  n.录音机
Scotland   *n.苏格兰
sixteenth   num.第十六
stay   n.&vi.停留，逗留，呆
tent   n.帐篷
upset  a.心烦的，苦恼的
weight  n.重，重量
couldmodal  v.（can的过去式）可以…；（表示许可或请求）可以…，行
conservation   n保存；（自然资源的）保护，管理
actual   a.实际的；现实的
bay   n.湾；海湾
catch  v.接住；捉住；赶上；染上（疾病）
department  n.部门；（机关的）司，处；（大学的）系
encourage  vt.鼓励
field  n.田地；牧场；场地
govern  v.统治；管理
heavy  a.重的
inspire  vt.鼓舞；激励
let  vt.让
meat  n.（猪、牛、羊等的）肉
none   pron.无任何东西,无一人
order  vt.定购，定货；点菜
PersonalComputer  个人电脑
recover  vi.痊愈；恢复
Scottish   a.苏格兰（人）的n.苏格兰人
size  n.尺寸，大小
steady   a.稳固的；平稳的
tentative   a.不确定的，踌躇的
upstairs  ad.在楼上，到楼上
welcome  int.n.&v.欢迎a.受欢迎的
count   vt.数，点数
provide  vt.提供
acutea.十分严重的,（病）急性的
BC n.公元前
category   n.类别，种类
department-store   n.百货商场
encouragement  n.鼓励
fierce   a.猛烈的
government  n.政府
heavily  ad.重地，大量地
instant  a.瞬间；刹那
letter  n.信；字母
medal  n.奖牌
non-stop   a.&ad.不停的,不断地
ordinary  a.普通的，平常的
pea  n.豌豆
recreation  n.娱乐，消遣
Scratch  v./n.划破，划痕，划伤
skate  vi.溜冰，滑冰
steak   n.牛排，肉排，鱼排
term   n.学期;术语;条款;项
upward  ad.向上；往上
welfare  n.幸福，福利
counter   n.柜台，结账处
association   n.协会，社团，联系
ADn.公元
be   v.是（原形）,其人称和时态形式有；成为
cater   v.提供饮食，承办酒席
departure   n.离开，启程
end  n.末尾；终点；结束v.结束，终止
fifteen  num.十五
gown  n.礼服，长外衣，睡衣
heel  n.脚后跟
instead  ad.代替，顶替
letter-box  n.信箱
goldmedal  金牌
non-violent  a.非暴力的
organ  n.（人，动物）器官
peace   n.和平
recycle  vt.回收；再循环
scream   n.尖叫
skateboard  n.冰鞋，滑板
steal   vt.偷,窃取
terminal   a.终点站
urban  a.城市的，都市的
well  ad.好,令人满意地,完全地a.好的,,健康的int.表示惊讶同意或犹豫等,亦用于接话语;好吧,那么,哎呀n.井
country   n.国家；农村，乡下
conservative   a.保守的，守旧的；保守主义的；谨慎的n.保守的人，保守主义
advertisement n.广告
beach   n.海滨，海滩
catholic   a.天主教的
depend   vi.依靠，依赖，指望；取决于
ending  n.结局；结尾，最后
fifth  num.第五
grade  n.等级；（中小学的）学年；成绩，分数
height  n.高，高度
institute  n.所,院，学院
level  n.水平线，水平
media  n.大众传播媒介
noodle  n.面条
organise  vt.组织
peaceful   a.和平的，安宁的
rectangle  n.&a.长方形,长方形的
screen   n.幕，荧光屏
ski  n.&vi.滑雪板；滑雪
steam   n.汽，水蒸气
terrible   a.可怕的；糟糕的
urge  v.敦促，催促，力劝
well-known  a.出名,众所周知的
countryside   n.乡下，农村
province  n.省
adapt   v.使适应，适合，改编
beam   n.平衡木
cathedral   n.大教堂（天主教）
deposit   v./n.订金，押金，放下，放置，储存
endless  a.无止境的；没完的
fifty   num.五十
gradually  ad.逐渐地
helicopter  n.直升飞机
institution  n.公共机构；学校
liberty  n.自由
medical  a.医学的，医疗的
noon   n.中午，正午
organiser  n.组织者
peach   n.桃子
red  n.红色a.红色的
sculpture   n.雕塑（术），雕刻（术），雕刻作品，雕像
skill   n.技能，技巧
steel   n.钢，钢铁
terrify   vt.使人感到恐怖
urgent  a.紧急的，紧迫的
west  a.西；向西,从西来的ad.在西方,向西方n.西部；西方
couple   n.夫妇，一对
assume   v.假定，假设
adaptation   n.适应，改编本
bean   n.豆，豆科植物
cattle   n.牛（总称），家畜
depth   n.深，深度
enemy  n.敌人；敌军
fight   n.打仗（架），争论
graduate  v.毕业
hello  int.喂；你好（表示打招呼，问候或唤起注意）
instruct  vt.通知；指示；教
liberate  vt.解放，使获自由
medicine  n.药
nor   conj.也不
organization  n.组织，机构
pear  n.梨子，梨树
redirect  vt.使改变，使转移
sea   n.海，海洋
skilled   a.熟练的；有技能的
steep   a.险峻的；陡峭的
terror   n.恐惧，惊恐
USA  n.美国（美利坚合众国）
western  a.西方的，西部的
courage   n.勇气；胆略
consider   vt.考虑
add   vt.添加，增加
beancurd   n.豆腐
cause   n.原因，起因vt.促使，引起，使发生
describe   vt.描写，叙述
energetic  a.精力旺盛的
fight   n.打仗（架），与……打仗（架）
graduation  n.毕业，毕业典礼
helmet  n.头盔
instruction  n.说明,须知;教导
liberation  n.解放
medium  n.媒体,中间的,中等的
normal   n.&a.正常的（状态）
origin   n.起源，由来
peasant  n.农民；佃农
reduce  vt.减少，缩减
seagull   n.海鸥
skillful  a.熟练,精湛的,灵巧的
step   n.脚步,台阶,梯级vi.走,跨步
test   vt.&n.测试,考查，试验
use  n.&vt.利用,使用,应用
westerner  n.西方人
course   n.过程；经过；课程
psychology  n.心理学
addicted   a.上瘾，成瘾，入迷
bear   v.承受，负担，承担；忍受；容忍n.熊
caution   n.谨慎，小心，警告
description  n.描述，描写
energ  yn.精力，能量
fighter   v.战士；斗士
grain  n.谷物，谷类
help  n.&vt.帮助，帮忙
instrument  n.乐器;工具,器械
librarian  n.图书管理员；（西方的）图书馆馆长
meet  vt./n.遇见，见到会；集会
north   a.北的;朝北的;从北来的ad.向（在,从）北方n.北;北方;北部
other   pron.别人，别的东西a.别的,另外的
pedestrian   n.步行者，行人
refer  vi.谈到,提到,涉及,有关
seal  n.海豹
skillfully  ad.精湛地,巧妙地
step-mother   n.继母
text   n.文本，课文
usedva.用过的;旧的;二手的
westwards  ad.向西
court   n.法庭；法院
assumption   n.假定，假设
addition   n.增加;（算数用语）加
beard   n.（下巴上的）胡须
cautious   a.小心的，谨慎的
desert   n.沙漠vt.舍弃；遗弃
engine  n.发动机，引擎
figure   n.数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像vt.（美口语）认为，判断.（在心里）想像，描绘
gram  n.克
helpful  a.有帮助的，有益的
insurance  n.保险
library  n.图书馆，图书室
meeting  n.会,集会,会见,汇合点
northeast  n.东北（部）
otherwise  ad.要不然,否则,另样
pen   n.钢笔，笔
referee  n.裁判，仲裁，调解员
seaman   n.水手；海员
skin  n.皮，皮肤；兽皮
steward   n.男服务员；男乘务员
textbookn.课本，教科书
useful  a.有用的，有益的
wet  a.湿的,潮的,多雨的
courtyard   n.庭院，院子
considerate   a.体贴的
address   n.地址
beast   n.野兽；牲畜
cave   n.洞，穴；地窖
deserve   v.（不用于进行时态）应得，应受
engineer  n.工程师；技师
file  n.公文柜；档案文档
grammar  n.语法
hen  n.母鸡
insure  vt.给……保险
license  n.执照，许可证
melon  n.（甜）瓜；瓜状物
northern  a.北方的，北部的
Ottawa  n.渥太华
pencil  n.铅笔
reference  n.提到,涉及,谈及,查询
search   n.&v.搜寻，搜查
skip   v.蹦蹦跳跳；跳绳
stewardess   n.女乘务员,空中小姐
than   conj.比
useless  a.无用的
whale  n.鲸
cousin   n.堂（表）兄弟，堂（表）姐妹
pub  n.酒店，酒吧
adequate   a.合适的，合乎需要的
beat  v.敲打；跳动；打赢n.（音乐）节拍
CD    光盘
design   n.&vt.n.设计，策划图案，图样，样式
England*  n.英格兰
fill  vt.填空，装满
grand  a.宏伟的
her  pron.她,她的
intelligence  n.智力,才智,智慧
lid  n.盖子
member  n.成员，会员
northwards  ad.向北
ouch  int（突然受痛时叫声）哎哟
pencil-box  n.铅笔盒
reflect  v.反映，反射
seashell   n.海贝
skipping  rope（跳绳用）绳
stick   vi.粘住，钉住；坚持n.木棒（棍）,枝条
thank   vt.感谢，致谢，道谢n.（复）感谢，谢意
user  n.使用者；用户
what  pron.什么,怎么样a.多么，何等；什么
cover   n.盖子；罩v.覆盖，遮盖；掩盖
astonish   vt.使惊讶
adjust   v.调整,调节,适应,习惯
beautiful   a.美，美丽，美观的
CDROM    信息储存光盘
desire   vt.&n.要求；期望
English  a.英国的，英国人的，英语的n.英语
film  n.电影；影片；胶卷vt.拍摄，把……拍成电影
grandchild  n.孙或孙女.孙辈
herb  n.草药
intend  vt.想要，打算
lie  v.躺;卧;平放;位于n.&vi.谎言;说谎
memorial  n.纪念馆
northwest  n.西北
ought  v.&aux.应该，应当
pen-friend  n.笔友
reform  v./n.改革，改进，改良
seaside   n.海滨
skirt   n.女裙
still   a.不动的,平静的ad.仍然,还
thankful   a.感谢的，感激的
usual  a.通常的，平常的
whatever  conj.&pron.无论什么，不管什么
cow   n.母牛，奶牛
consideration   n.考虑；关心
adjustment   n.调整，适应
beauty   n.美丽，美人
ceiling   n.天花板，顶棚
desk   n.书桌，写字台
English-speaking  a.说英语的
final   a.最后的；终极的
granddaughter  n.（外）孙女
here  ad.这里，在这里；向这里
intention  n.打算,计划,意图
life  n.生命；生涯；生活；人生；生物
memory  n.回忆，记忆
nose   n.鼻
our  pron.我们的
penny  n.（英）便士；美分
refresh  v.使恢复精力，提醒
season   n.季；季节
sky  n.天；天空
stocking   n.长统袜
that   a.&pron.那，那个conj.那，那个（引导宾语从句等）ad.那么，那样
usually  ad.通常，经常
wheat  n.小麦
cowboy   n.（美国）牛仔;牧场骑士
public  a.公共,公众的n.公众
administration   n.管理,行政部门
because   conj.因为
celebrate   v.庆祝
desperate   a.（因绝望而）不惜冒险的，不顾一切的，拼命的
enjoy   vt.欣赏；享受乐趣；喜欢
finance  n.资金，财政，财务
grandma  n.奶奶；外婆
hero  n.英雄，勇士，男主角
interest  n.兴趣，趣味;利息
lifetime  n.一生，终生
memorize  v.记忆
not   ad.不，没
ours  pron.我们的
pension  n.养老金
refreshments  n.点心，便餐；简单茶点招待
seat   n.座位，座
skyscraper  n.摩天楼
stomach   n.胃，胃部
the   art.这（那）个,这（那）些（用于特定人或物，序数词，最高级，专有名词，世上独一无二事物前）
wheel  n.轮，机轮
co-worker  n.合作者；同事
astronaut   n.宇航员
admirable   a.值得赞赏的,可钦佩的
become  v.变得；成为
celebration   n.庆祝；庆祝会
dessert   n.甜点
enjoyable  a.愉快的；有趣的
find   vt.找到，发现，感到
grandpa  n.爷爷,外公
heroine  n.女英雄，女主角
interesting  a.有趣的
lift  v.举起，抬起；（云、烟等）消散n.（英）电梯
mend  v.修理，修补
note   n.便条，笔记，注释；钞票，纸币；音符，音调vt.记下，记录；注意，留意
ourselves   pron.我们自己
people  n.人，人们；人民
refrigerator  n.冰箱
seaweed   n.海草,海藻,海带
slave  n.奴隶
stomachache   n.胃疼
theatre   n.剧场，戏院
when  conj.当…的时候ad.什么时候，何时
crash   v./n.碰撞，撞击
consist   v.包含，组成，构成
admire   v.钦佩；羡慕
bed   n.床
cell  n.（监狱的）单人牢房；（修道院等的）单人小室；（蜂巢的）小蜂窝，蜂房；［生物］细胞
destination   n.目的地，终点
enlarge  vt.扩大
fine  a.细的；晴朗的；美好的；（身体）健康的n.&v.罚款
grandparents  n.祖父母.外祖父母
hers  pron.她的
international  a.国际的
light  n.光，光亮；灯，灯光vt.点（火），点燃a.明亮的；轻的；浅色的
mental  a.精神的；脑力的
notebook   n.笔记簿
out  ad.出外;在外,向外;熄
pepper  n.胡椒粉
refusal   n.拒绝
second  n.秒num.第二a.第二的
slavery   n.奴隶制度
stone   n.石头，石料
theft   n.盗窃案
whenever  conj.每当，无论何时
crayon   n蜡笔；蜡笔画
publicly  ad.当众；公开地
admission   n.准入,接纳
bedclothes   n.铺盖（被褥等）
cellar   n.地窖；地下储藏室
destroy   vt.破坏，毁坏
enough   n.足够；充足a.足够；充分的ad.足够地；充分地
finger   n.手指
grandson  n.（外）孙子
herself  pron.她自己
internet  n.互联网，英特网
lightning  n.闪电
mentally  ad.精神上；智力上
nothing   n.没有东西,没有什么adv.一点也不；并不
outcome   n.结果，效果
per  prep.每，每一
refuse   vi.拒绝，不愿
secondhand  n.二手货;旧货
sleep  n.睡觉
stop   n.停；（停车）站v.停，停止，阻止
their   pron.他们的
where  ad.在哪里；往哪里
crazy   a.疯狂的
astronomer   n.天文学家
admit   vt.承认，准许（入场，入学，入会）
beddings   n.卧具，铺盖
cent   n.美分
detective   n.侦探
enquiry  n.询问
fingernail  n.指甲
granny  n.老奶奶；祖母；外婆
hey  int.嘿！
interpreter  n.翻译
like  prep.像，跟…一样vt.喜欢，喜爱
mention  n.提及；记载vt.提到，说起；提名表扬
notice   n.布告，通告；注意vt.注意，注意到
outdoors  ad.在户外,在野外
percent  n.百分之……
regard   v.把……看作
secret   n.秘密，内情
sleep  vi.睡觉
stopwatch   n.记秒表；跑表
theirs   pron.他（她,它）们的
wherever  conj.无论在哪里
cream   n.奶油，乳脂
consistent   a.一致的，始终如一的，连续的
adolescence   n.青春，青春期
bedroom   n.寝室，卧室
centigrade   a.摄氏的
determination   n.决心
enter  vt.进入
finish  v.结束；做完
grape  n.葡萄
hi  int.你好（表示打招呼、问候或唤起注意）
interrupt  v.打扰，打断
likely  a.很可能的
menu  n.菜单
novel   n.（长篇）小说
outer  a.外部的，外面的
percentage  n.百分率
regards   n.问候，致意
secretary   n.秘书；书记
sleepy  a.想睡的,困倦的,瞌睡的
storage   n.贮藏；储存
them   pron.他/她/它们（宾格）
whether  conj.是否
create   vt.创造；造成
publish  t.出版，发行
adolescent   n.青少年
bee   n..蜜蜂
centimetre   n.公分，厘米
determine   vt.决定；决心
enterprise  n.公司，企，事业单位
fire  n.火；火炉；火灾vi.开火，开（枪，炮等），射击
graph  n.图表，曲线图
hibernate  vi.冬眠
interval  n.间歇；间隔
limit  vt.限制；减少
merchant  a.商业的；商人的n.商人；生意人
novelist  n.小说家
outgoing  a.爱交际的,外向的
perfect  a.完美的，极好的
regardless   a.不顾，不加理会
section   n.段，部分，部门
sleeve   n.袖子，袖套
store   n.商店vt.储藏，存储
theme   n.主题
which  pron.那一个；那一些a.这个；这些；无论哪个
creature   n.生物，动物
astronomy   n.天文学
adopt   v.收养，领养
beef   n.牛肉
central   a.中心，中央；主要的
develop   v.（使）发展；（使）发达；（使）发育；开发vt.冲洗（照片）
entertainment  n.娱乐
firefightern.消防人员
grasp  v.抓住；紧握
hibernation  n.冬眠
interview  n.&vt.采访,会见,面试
line  n.绳索，线，排，行，线路v.画线于，（使）成行
merciful  a.仁慈的；宽大的
November   n.11月
outing  n.郊游，远足
perform  v.表演，履行；行动
